"Община","Име на атракция","Вид на атракция","Собственост","Статут","Достъпност за посещение","Местоположение","Транспортна достъпност и връзки","Видимост и ориентация","Среда","Туристическа инфраструктура","Съпътстващи атракции","Публични услуги","Интернет ресурси"
"Белослав","ПРАВОСЛАВЕН ХРАМ СВЕТИ ДИМИТЪР СОЛУНСКИ","Църква","Църковно настоятелство- Белослав","","-","гр. Белослав","Има изградена добра пътна инфраструктура","","Градска","Места за настаняване","-","-",""
"Бяла","ПРАВОСЛАВЕН ХРАМ УСПЕНИЕ БОГОРОДИЧНО","Църковен храм","Варненска митрополия","Паметник от местно значение","Безплатно, целогодишно, осигурен достъп за хора с увреждания.","гр. Бяла, ул.""Господин Милушев"" № 37 А","Общински път,много добро състояние.","","Градска","Места за настаняване","-","Има",""
"Бяла","ЦЪРКОВЕН ХРАМ СВЕТА ПАРАСКЕВА","Църковен храм","Варненска митрополия","Паметник от местно значение","Безплатно, целогодишно, осигурен достъп за хора с увреждания.","гр. Бяла, ул.""Черни нос"" № 2","Общински път, много добро състояние.","","Градска","Места за настаняване","-","Има",""
"Бяла","ДЕМОНСТРАЦИОНЕН ЦЕНТЪР БЕЛИТЕ СКАЛИ","-","Общинска собственост","Демонстратиоцен център","Платено, целогодишно, наличие на екскурзовод, осигурен достъп за хора с увреждания.","гр. Бяла, ул.""Андрей Премянов"" № 14","Обектът се намира в центъра на града, на площада.","","Градска","Места за настаняване","Има","Има",""
"Бяла","ШАТО ПОЛИХРОНОВИ","Винарска изба","Частна собственост","","платено, сезонно, осигурен достъп за хора с увреждания.","гр. Бяла, ул.""Трифон Милушев"" № 1","Път Е 87,много добро състояние.Има обществен транспорт.","","Градска","Места за настаняване","-","Има",""
"Бяла","ПЪРВА ЧАСТНА ЗООЛОГИЧЕСКА ГРАДИНА- ГОРИЦА","Зоологическа градина","Частна собственост","","Платено, целогодишно, осигурен достъп за хора с увреждания.","Главен път Варна-Бургас преди с.Горица, община Бяла GPS координати:42.915645, 27.822744","Път Е 87, много добро състояние.Има обществен транспорт.","","Природна","Места за настаняване","-","-",""
"Бяла","АКВАПАРК","Аквапарк","Частна собственост","","Платено,сезонно - от юни до септември месец","гр. Бяла, бивш къмпинг ""Луна"", GPS координати: геогр. ширина 42о50'20"" N,геогр. дължина 27о52'56"" W","Път Е 87 ,много добро състояние.Има обществен транспорт.","","Градска","Места за настаняване","-","-",""
"Бяла","АНТИЧНА ПЕЩ","-","Частна собственост","Паметник на културата","Безплатно,сезонно - от април до октомври месец, няма екскурзоводи, осигурен достъп за хора с увреждания","гр. Бяла, бивш къмпинг ""Луна""GPS координати: геогр. ширина 42о50'20"" N,геогр. дължина 27о52'56"" W","Път Е 87, много добро състояние.Има обществен транспорт.","","Градска","Места за настаняване","Има","Има",""
"Бяла","ОБЩИНСКИ КУЛТУРЕН ИНСТИТУТ","Музей","Общинска собственост, Акт № 1046","Музей","Безплатно, целогодишно, наличие на екскурзовод, осигурен достъп за хора с увреждания","гр.Бяла, ул.""Андрей Премянов"" № 14","Обектът се намира в центъра на града, на площада.","","Градска","Места за настаняване","Има","Има",""
"Варна","ЗООПАРК- СПАСИТЕЛЕН ЦЕНТЪР","Зоопарк","Община Варна","Общинско предприятие","Входни билети","гр. Варна, м-ст ""Салтанат"" № 5","Морска градина най-близка спирка - Акации","Добра","Градска","Места за настаняване","Има","Има",""
"Бяла","АНТИЧНА КРЕПОСТ НА НОС СВЕТИ АТАНАС","Крепост","Общинска собственост, Акт № 914","Паметник на културата от национално значение","Платено,целогодишно, наличие на екскурзоводи, осигурен достъп за хора с увреждания","гр.Бяла, нос Свети Атанас, бул.""Св.Атанасий"" № 41","Общински път,много добро състояние.","","Градска","Места за настаняване","Има","Има",""
"Бяла","ВЕКОВНО ДЪРВО","Природна забележителност","Общинска собственост","","Безплатно, целогодишно, осигурен достъп за хора с увреждания.","гр. Бяла, ул.""Иван Калчев"" №13, парк ""Старата чешма""","Общински път, добро състояние.","","Градска","Места за настаняване","-","Има",""
"Бяла","ВОДНА ПЪРЗАЛКА БЯЛА","Атракцион","Частна собственост","","Платено,сезонно - от юни до септември месец,","гр. Бяла, плаж Бяла-Централен IV","Общински път, добро състояние.","","Градска","Места за настаняване","-","-",""
"Ценово","АНТИЧНО И СРЕДНОВЕКОВНО СЕЛИЩЕ ЯТРУС","Недвижима културна ценност","Държавна","Археологически обект","Кастелът е достъпен безплатно целогодишно. Няма екскурзоводи и не е осигурен достъп на хора с увреждания.","с. Кривина, местността Градище","Пътят, който води до обекта е разклон Новград – Кривина е път от Републиканската пътна мрежа – III кл., в добро състояние. Общественият транспорт до обекта е ограничен.","Няма видимост на обекта. Той се намира на два километра от разклона за с. Кривина по пътя гр. Бяла – гр. Свищов.","Природна","Места за настаняване","Има","Има",""
"Ценово","ВЪЖЕН МОСТ НА РЕКА ЯНТРА","Въженият мост - 105 метра","Общинска","-","Мостът е достъпен безплатно целого-ишно.","Мостът се намира западно от с. Беляново и свързва селото със с. Новград","Намира се на общински път IV клас Бецов-Беляново-Кривина, в добро състояние. Общественият транспорт до обекта е ограничен.","Има видимост от общинския път","Природна","Места за настаняване","Има","Има",""
"Иваново","СКАЛЕН МАНАСТИР","Архитектурностроителен от Античността и Средновековието","-","ДВ бр.57/1968г. Местно","-","м. Грамовец – 4,5 км ю.и.","Автобусна линия до с. Кошов, Екопъ-тека","Указателни табели, информационни табла","Природна","Места за настаняване","Има","Има",""
"Варна","АРХЕОЛОГИЧЕСКИ МУЗЕЙ","Музей","ПОС акт.№ 6970","Паметник на културата","Целогодишен платен достъп, екскурзоводи, достъп за хора с увреждания","гр. Варна, бул.""Мария Луиза"" 41","Обществен транспорт","Център","Градска","Места за настаняване","-","Има",""
"Ценово","ЕКО ПЪТЕКА ПО ДОЛНОТО ТЕЧЕНИЕ НА РЕКА ЯНТРА","Еко пътека с туристически заслони","Общинска","-","Достъпни са безплатно от началото на пролетта до края на есента.","с. Долна Студена, местност „Край село“, Ценово, местност „Папаз панара“, Белцов, местност „Крушака“Кривина, местност „Елията“ и Беляново, местност „Елията“.","Заслонът в с. Долна Студена се намира на общински път IV клас Долна Студена-Ботров, който е в добро състояние.","Заслоните в Долна Студена, Ценово, Белцов и Беляново имат видимост от пътя. Само заслонът в Кривина няма такава.","Природна","Места за настаняване","Има","Има",""
"Ценово","ПАМЕТНИК НА ЛЕНИН","Паметник","Липсват документи за собственост","Паметник – единственият запазен в България","Достъпен/Целогодишно/Безплатно","с. Новград","Републикански път II клас Бяла – Свищов, има обществен транспорт.","Има видимост от пътя","Градска","Места за настаняване","Има","Има",""
"Иваново","СЕЛИЩЕ","Архитектурностроителен паметник","-","Прот. СОПК №35 от 07.05.1974г.","-","м. Бузалъка – 4,5 км ю.и.","-","-","-","Места за настаняване","-","-",""
"Иваново","ЦЪРКВА И ПАРАКЛИС","Архитектурностроителен паметник","-","ДВ бр.57/1968г. Местно","-","м. Писмата – 4 км ю.и.","-","-","-","Места за настаняване","-","-",""
"Варна","МУЗЕЙ НА ВЪЗРАЖДАНЕТО","Музей","АДС, № 4226","-","Целогодишен платен достъп, екскурзоводи","гр. Варна, ул. ""Заменхов"" 21","Обществен транспорт","Недалече от жп гара","Градска","Места за настаняване","-","Има",""
"Варна","ЕТНОГРАФСКИ МУЗЕЙ","Музей","ПОС, акт № 1769","паметник на културата","Целогодишен платен достъп, екскурзоводи","гр. Варна, ул.""Панагюрище""22","Обществен транспорт","Недалече от Морска гара","Градска","Места за настаняване","-","Има",""
"Варна","РИМСКА БАНЯ- МАЛКИ ТЕРМИ","Терми","ПДС акт№ 8415","Паметник на културата","Сезонно, платен достъп, екскурзоводи","гр. Варна, бул. ""Приморски""","Обществен транспорт","Недалече от Морска гара","Градска","Места за настаняване","Има","Има",""
"Варна","АЛАДЖА МАНАСТИР","Манастир","ЧОС, акт № 7030","Национален паметник на културата","Целогодишен платен достъп, екскурзоводи","Природен парк ""Златни пясъци"" - м. ""Аладжа манастир","Частен или организиран транспорт","В местостта ""Аладжа манастир"" край Варна","Природна","Места за настаняване","-","-",""
"Варна","РИМСКИ ТЕРМИ","Терми","ПДС, акт № 8414","Национален паметник на културата","Целогодишен платен достъп, екскурзоводи","гр. Варна, ул.""Княз Дондуков"" №31","Обществен транспорт","Обектът се намира в югоизточната част на града","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА МЛАДИТЕ ТАЛАНТИ ЗЛАТНА ПЕРЛА","Фестивал","-","","-","гр. Варна, к.к. Златни пясъци, сцена „Амфитеатър”","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ЗАЕДНО В НОВОГОДИШНАТА НОЩ","Фестивал","Община Варна","","-","гр. Варна, пл. „Независимост”","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ВОЕННОМОРСКИ МУЗЕЙ","Музей","държавна","Филиал на НВИМ","Целогодишна, един почивен ден седмично през летния сезон, два почивни дни през зимния","гр. Варна","Градски транспорт - автобусни линии 20, 17, 39, връзка с ЖП гара, от Ж.П гара и от центъра на града - автобуси до всички точки на града и курортните комплекси","Намира се на главна улица, външна експозиция, видима от всички страни покрай музея.","Градска","Места за настаняване","Има","Има",""
"Варна","ПОБИТИ КАМЪНИ","Природна забележителност","Обектът се администрира от Регионален исторически музей Варна","Музеен обект","Лесно достъпно","На 18 км от центъра на Варна посока Варна - София","-","Западно от центъра на град Варна","Природна","Места за настаняване","-","Има",""
"Варна","МУЗЕЙ НА КУКЛИТЕ","Музей","Държавен куклен театър - Варна","Музей","Лятно работно време (юни – септември)вторник - петък: 10:00 - 17:00 събота: 16:00 - 20:00. Почивни дни: неделя и понеделникЗимно работно време (октомври – май)вторник - петък: 10:00 - 17:00събота: 10:00 - 14:00Почивни дни: неделя и понедел","гр. Варна, ул.""Шейново""5","Отлична","Рекламни и указателни табели, флаери и каталози","Градска","Места за настаняване","Има","Има",""
"Варна","МУЗЕЙ ПО ИСТОРИЯ НА МЕДИЦИНАТА","Музей","Национален център по опществено здраве и анализи","Музейна сбирка","Всеки делничен ден от 8.30 до 16.30 ч.","гр. Варна 9000, ул. ""Параскева Николау"" №7","Добра","","Градска","Места за настаняване","Има","Има",""
"Варна","СТОПАНСТВО ЕВКСИНОГРАД","Паметник на културата с национално значение","Държавна собственост - Министерски съвет","Правителствена резиденция","Целогодишно с предварителна резервация","На 8 км северно от гр. Варна в посока к.к. Златни пясъци","С лични превозни средства до паркинг на входа на обекта, градски транспорт - автобусни линии № 409, 109, 8, 9, 209, 31а, спирка ""Евксиноград""","Много добра","Градска","Места за настаняване","Има","Има",""
"Варна","ЕВРОПЕЙСКИ МУЗИКАЛЕН ФЕСТИВАЛ","Фестивал","Агенция ‘Елит мюзик” и „Кантус фирмус”","","-","гр. Варна, бул.""Мария Луиза"" 41","Добра","","Градска","Места за настаняване","Има","Има",""
"Варна","СОФИЯ ФИЛМ ФЕСТ - ВАРНА","Фестивал","„Александър Николов – Артин” ООД, „Арт фест“ ЕООД","","-","гр. Варна, Фестивален и конгресен център","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МУЗЕЙ ЗА НАЙ- НОВА ИСТОРИЯ","Музей","-","","-","гр. Варна, ул. Мария Луиза 41","Обществен транспорт","Център","Градска","Места за настаняване","Има","Има",""
"Варна","МУЗЕЙ ЗА НОВА ИСТОРИЯ НА ВАРНА","Музей","ПОС, акт №1771","Паметник на културата","Целогодишен платен достъп, екскурзоводи","гр. Варна, ул. ""Осми ноември""3","Обществен транспорт","Недалеч от Морска гара","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ СЛАВЯНСКИ ВЕНЕЦ","Фестивал","Турал Мениджмънт ЕООД & Турал Хотели","","-","гр. Варна, к.к. Златни пясъци, к.к. Албена, к.к. Св.Св. Константин и Елена","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ВАРНЕНСКИ ХАЛКОЛИТЕН НЕКРОПОЛ","Историко- археологически обект","Публично- държавна собственост","Паметник на културата с национално значение","Частично достъпен","гр. Варна, р-н Младост, Западна промишлена зона","Път от градска улична мрежа","Има","Градска","Места за настаняване","Има","Има",""
"Варна","ВИНАРСКА ИЗБА ВАРНА","Винарска изба","Частна","предприятие за производство на вино и провеждане на дегустации за туристи","Разположена на главен път Варна-Балчик на 20 км. От гр. Варна. Достъпност с автомобил.","с. Генерал Кантарджиево, община Аксаково, обл. Варна. 43°21'09.0""N 28°00'27.1""E","Автомобилен транспорт","Непосредствена видимост от главния асвалтов път. На 500 м от двете страни на Винарната по протежение на асвалтовия път, са разположени рекламни съоръжения изобразяващи отстоянието ди Винарната","Градска","Места за настаняване","Има","Има",""
"Варна","КЛУБ НА СОМЕЛИЕРА И ВИНОЦЕНИТЕЛЯ","Клуб за обучение и развиване на винената и кулинарна култура","Българска асоциация на сомелиерите и виноценителите /БАСВ/","Обучителни курсове и семинари се провеждат веднъж на два месеца, а срещи-дегустации на различни производители - два пъти месечно","за членове на БАСВ и поканени гости","гр. Варна, хотел-ресторант ""Бялата къща"" кв.Чайка","намира се в квартал ""Чайка"" в непосредствена близост до Морската градина на Варна","много добра с насочващи табели","Градска","Места за настаняване","Има","Има",""
"Варна","НАЦИОНАЛНО ИЗЛОЖЕНИЕ ФЕСТИВАЛ ВИНО И ХРАНА","Фестивал","Българска асоциация на сомелиерите и виноценителите /БАСВ/","Ежегодно провеждане с регистрирана търговска марка в Патетно ведомство","За всички граждани и гости на града с вход и контролиран достъп","гр. Варна, Лятна градина на Регионален исторически музей - Варна","Намира се в центъра на гр.Варна","Много добра с насочващи табели","Градска","Места за настаняване","Има","Има",""
"Варна","ВИНАРНА БЯЛАТА КЪЩА","ресторант с винарска изба","частна, наемател ""Декриса"" ООД","","неподходящо за хора със затруднено придвижване","гр. Варна, кв.""Чайка"", ул.""Рупи""108, ресторант ""Бялата къща""","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ВИНАРСКА ИЗБА ЕВКСИНОГРАД","Част от Стопанство ""Евксиноград""","Публична държавна собственост - Министерски съвет","Публична държавна собсвеност","Организирани дегустации с предварителна резервация","На 8 км. северно от гр. Варна в посока к.к. Зл.Пясъци","С лични превозни средства до паркинг на входа на стопанство ""Евксиноград"", градски транспорт-автобуси №409,109,8,9,209,31а - спирка ""Евксиноград""","добра","Градска","Места за настаняване","Има","Има",""
"Варна","ФЕСТИВАЛ НА ЧЕРВЕНОКРЪСТКИТЕ И ЗДРАВНИ ФИЛМИ","Фестивал","Обединение ""Фестивал на червенокръстките и здравни филми""","","-","гр. Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЛАДЕЖКИ ФЕСТИВАЛ НА ИЗКУСТВАТА ПЪТУВАНЕ КЪМ МИНАЛОТО","Фестивал","Студио Палас и Музей за история на Варна. Със съдействието на РИМ-Варна и Театър Българан.","","-","гр. Варна, музеите на Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ЛИСТОПАД НА СПОМЕНИТЕ","Фестивал","Съюзът на пенсионерите, Фондация „Листопад на спомените“","","-","Дворецът на културата и спорта","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ФЕСТИВАЛ НА БЪЛГАРСКИЯ ИГРАЛЕН ФИЛМ ЗЛАТНАТА РОЗА","Фестивал","Основни организатори: Министерството на културата, Националният филмов център и БНТ, Фестивалният и конгресен центърС подкрепата на Община Варна","","-","Фестивалният и конгресен център","-","","Градска","Места за настаняване","Има","Има",""
"Варна","НАЦИОНАЛЕН ФЕСТИВАЛ-КОНКУРС МОДЕРЕН БАЛЕТ","Фестивал","НЧ „Хр. Ботев” , съорганизатор: Община Варна","","-","Дворецът на културата и спорта","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН КУКЛЕН ФЕСТИВАЛ ЗЛАТНИЯТ ДЕЛФИН","Фестивал","Министерство на културата, Община Варна, Съюза на артистите в България, СНЦ”Златният делфин”, Държавен куклен театър - Варна","","-","Държавен куклен театър – Варна, Театрално-музикален продуцентски център – Варна, Градска художествена галерия „Борис Георгиев”, Музей на куклите, Художествен музей „Георги Велчев”","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА АНИМАЦИОННИЯ ФИЛМ","Фестивал","Сдружение „Световен фестивал на анимационния филм”","","-","Фестивален и конгресен център – Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФИЛМОВ ФЕСТИВАЛ ЛЮБОВТА Е ЛУДОСТ","Фестивал","Фестивалният и конгресен център, съорганизатор: Община Варна","","-","Фестивалният и конгресен център","-","","Градска","Места за настаняване","Има","Има",""
"Варна","СВЕТО УСПЕНИЕ БОГОРОДИЧНО – ДЕН НА ВАРНА","Празник на града","Община Варна","","-","гр. Варна, сцена Раковина, Летният театър и открити сцени и площадки във Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","СЕДМИЦА НА МОРЕТО","Фестивал","Община Варна, дирекция „Култура и духовно развитие”","","-","гр. Варна, събития на открито","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФОЛКЛОРЕН ФЕСТИВАЛ ВАРНЕНСКО ЛЯТО","Фестивал","Община Варна","","-","гр. Варна, Летният театър, сцена „Раковина” и открити сцени и площадки във Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ПАНАИР НА ЗАНАЯТИТЕ И ИЗКУСТВАТА","Панаир","Асоциация „Булгарика”, съорганизатор: Община Варна","","-","гр. Варна, Морската градина","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ СВЕТОВЕН ФОРУМ НА ИЗКУСТВАТА – КЪМ ЗВЕЗДИТЕ","Фестивал","Фондация „Световен форум на изкуствата – към звездите”, съорганизатор: Община Варна","","-","гр. Варна, Археологическият музей (двор)","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ДЖАЗ ФЕСТИВАЛ","Фестивал","Варненското джаз общество","","-","гр. Варна, Археологическият музей (двор)","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДНО БИЕНАЛЕ НА ГРАФИКАТА","Биенале","-","","-","гр. Варна, Градската художествена галерия ""Борис Георгиев""","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН БАЛЕТЕН КОНКУРС","Конкурс","Фондация ""Международен балетен конкурс – Варна”","","-","гр. Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","АЛЕЯ НА КНИГАТА","Фестивал","Община Варна и Асоциация „Българска книга“","","-","гр. Варна, пешеходна част на бул. „Сливница“ от пл. „Севастопол“ до Фестивален и конгресен център","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА КЪСОМЕТРАЖНОТО КИНО","Фестивал","Фондация „Формат СФФ” със съдействието на Фестивалния и конгресен център, Министерството на културата, Националния филмов център, Програма „Медиа”, чуждестранни културни мисии в България","","-","гр. Варна, Фестивалният и конгресен център","-","","Градска","Места за настаняване","Има","Има",""
"Варна","ФЕСТИВАЛ НА ЕТНОСИТЕ","Фестивал","Министерството на културата, НЧ „Хр. Ботев”, съорганизатор: Община Варна","","-","гр. Варна, Летният театър","-","","Градска","Места за настаняване","Има","Има",""
"Варна","АРТ ГАЛЕРИЯ ПАПИЙОН","Художествена галерия","частна","Арт галерия","Понеделник - събота: 10:00 - 19:00 ч неделя: 11:00 - 18:00 ч.","гр.Варна, ул.Драгоман №9","Автобусни линии №7, №13,№148, №82, №48, най-близък платен паркинг на площад ""Мусала""","Достъпно и видимо, Централна пешеходна зона - Варна","Градска","Места за настаняване","Има","Има",""
"Варна","A&G ART MEETING","Галерия","Частна","-","Вторник -събота 16:00-19:00","гр. Варна, ул. Братя Шкорпил 13","Намира се в центърана Варна, междукатедралата иархеологическиямузей","-","Градска","Места за настаняване","Има","Има",""
"Иваново","ВОЙНИШКИ ПАМЕТНИК","Монументален исторически паметник","-","-","-","В двора на църквата","-","-","-","Места за настаняване","-","-",""
"Варна","АРТ ГАЛЕРИЯ ЛАРГО","Галерия за изящно изкуство","Частна","-","Свободен достъп, без входна такса","гр. Варна, ул. Хан Крум №8","Достъпен пеша и с автомобилен транспорт","Видимост 20 метра от ул. Сан Стефано и от Римски терми, витрини на ул. Хан Крум и на ул. Презвитер Козма","Градска","Места за настаняване","Има","Има",""
"Варна","ОНЛАЙН ГАЛЕРИЯ КАВАЛЕТ","Онлайн галерия – точка 2.7 според дефиницията.","Частна","-","Онлайн галерия – достъпна в интернет.","гр. Варна","-","-","Градска","Места за настаняване","Има","Има",""
"Варна","ГАЛЕРИЯ ГРАФИТ","Галерия","Частна","-","Понеделник-събота от 10:00 до 18:00 часа","гр. Варна, бул. Княз Борис І 65","Спирка ""Академия"" е на 20 метра от сградата на галерията, която се намира на един от основните булеварди на града ""Княз Борис І""","Сградата е олицетволение на най-новите тенденции в модерната световна архитектура, демонстрирайки успоредно с това дискретна визия – естествен съвременен фон за красивите стари сгради по протежението на бул.”Княз Борис I” и ул.”Македония”.","Градска","Места за настаняване","Има","Има",""
"Варна","КОНЦЕРТНО СТУДИО РАДИО ВАРНА","Студиен комплекс 5","Българско национално радио - Радио Варна","Звукозаписен студиен комплекс и концертна зала","В зависимост от времетраенето на събитията. Достъп от централния вход на Радио Варна.","гр. Варна, бул. ""Приморски"" № 22 /до входа на Морската градина/","С личен автомобил до паркинга на ФКЦ - Варна на ул. ""А.С.Пушкин"", достъп за пешеходци и с велосипед - през Морската градина и пешеходната зона в центъра на Варна","Добра видимост от булевард ""Приморски"", бул. ""Сливница"" (ФКЦ) и от Морската градина, масивна сграда, добре обозначена и разпознаваема за варненци и гостите на града","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН МУЗИКАЛЕН ФЕСТИВАЛ “ВАРНЕНСКО ЛЯТО”","Фестивал","Община Варна, Дирекция „Култура и духовно развитие”","","-","ГХГ “Б. Георгиев”, Летният театър, Галерия „Графит”","-","","-","Места за настаняване","-","-",""
"Варна","МЕЖДУНАРОДЕН ТЕАТРАЛЕН ФЕСТИВАЛ ВАРНЕНСКО ЛЯТО","Фестивал","Фондация „МТФ „Варненско лято”, Министерството на културата – София, Българската асоциация за театър – София и Община Варна","","-","гр. Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФОТОГРАФСКИ САЛОН","Фестивал","Гражданското дружество “Национален фотографски салон”","","-","гр. Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА ПОЕЗИЯТА СЛАВЯНСКА ПРЕГРЪДКА","фестивал","Славянската литературна и артистична академия","","-","гр. Варна, Радио Варна, ГХГ „Б. Георгиев”","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА ПОПУЛЯРНАТА МУЗИКА ОТКРИТИЕ","фестивал","Фондация “Откритие”","","-","гр. Варна","-","","Градска","Места за настаняване","Има","Има",""
"Варна","МЕЖДУНАРОДЕН МУЗИКАЛЕН ФЕСТИВАЛ МОРЕ И СПОМЕНИ","Фестивал","НЧ „В. Левски 1945”","","-","гр. Варна","-","","Градска","Места за настаняване","Има","Има",""
